reptile_source,product_name,promotional_image,product_description,product_type,industry,ai_tag,used_model,product_display_link,product_display_qr_code,like_num,collect_num,view_num
https://ai-bot.cn/sites/5037.html,百度文库AI助手,https://ai-bot.cn/wp-content/uploads/2023/10/baidu-wenku-ai-website.png,基于文心一言的一站式智能文档助手,AI办公工具,,AI文档工具,,https://wenku.baidu.com/ndlaunch/browse/chat?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/5001.html,写作蛙,https://ai-bot.cn/wp-content/uploads/2023/10/littlefrog-ai-website.png,智谱AI推出的免费智能写作工具,AI写作工具,,AI写作工具,,https://littlefrog.ai/?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4963.html,PromptPerfect,https://ai-bot.cn/wp-content/uploads/2023/10/promptperfect-website.png,专业的提示词优化工具，一站式开发、优化、调试和部署提示词,AI提示指令,,AI提示指令,,https://promptperfect.jinaai.cn/?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4841.html,小悟空,https://ai-bot.cn/wp-content/uploads/2023/09/wukong-ai-website.png,字节跳动推出的免费AI对话助手和个人助理,AI对话工具,,AI对话工具,,https://wukong.com/tool?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4808.html,Capsule,https://ai-bot.cn/wp-content/uploads/2023/09/capsule-video-website.png,AI驱动的在线视频剪辑工具，个人和小团队免费,AI视频工具,,AI视频工具,,https://capsule.video/?ref=ai-bot.cn,,,,
https://ai-bot.cn/sites/4794.html,v0.dev,https://ai-bot.cn/wp-content/uploads/2023/09/v0-dev-website.png,AI生成前端React/UI组件，由Vercel推出,AI编程工具,,AI编程工具,,https://v0.dev/?ref=ai-bot.cn,,,,
https://ai-bot.cn/sites/4749.html,秒画,https://ai-bot.cn/wp-content/uploads/2023/09/sensetime-miaohua-website.png,商汤科技推出的免费AI作画和图片生成平台,AI图像工具,,"AI图片插画生成,常用AI图像工具",,https://miaohua.sensetime.com/zh-CN,,,,
https://ai-bot.cn/sites/4655.html,应事AI,https://ai-bot.cn/wp-content/uploads/2023/09/yingshi-ai-website.png,MiniMax推出的AI对话助理，已免费开放,AI对话工具,,AI对话工具,,https://yingshi-ai.com/?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4667.html,Stable Audio,https://ai-bot.cn/wp-content/uploads/2023/09/stable-audio-website.png,Stability AI最新推出的音乐生成工具,AI音频工具,,AI音频工具,,https://www.stableaudio.com/?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/1338.html,通义千问,https://ai-bot.cn/wp-content/uploads/2023/09/tongyi-qianwen-website.png,阿里巴巴推出的类ChatGPT响应人类指令的大模型，已免费开放,AI对话工具,,AI对话工具,,https://qianwen.aliyun.com/,,,,
https://ai-bot.cn/sites/4558.html,腾讯混元大模型,https://ai-bot.cn/wp-content/uploads/2023/09/hunyuan-llm-website.png,腾讯研发的大语言模型，具备强大的中文创作能力，复杂语境下的逻辑推理能力，以及可靠的任务执行能力,AI训练模型,,AI训练模型,,https://hunyuan.tencent.com/?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4487.html,Jambot,https://ai-bot.cn/wp-content/uploads/2023/09/figjam-jambot-website.png,Figma团队推出的FigJam AI白板插件，可快速进行头脑风暴、思维导图生成等,AI办公工具,,"AI思维导图,AI设计工具",,https://www.figma.com/community/widget/1274481464484630971,,,,
https://ai-bot.cn/sites/4483.html,顽兔抠图,https://ai-bot.cn/wp-content/uploads/2023/09/d-design-ai-cutout-website.png,阿里推出的一键去除商品图背景工具,AI图像工具,,AI图片背景移除,,https://d.design/toolbox/cutout?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/4453.html,百川大模型,https://ai-bot.cn/wp-content/uploads/2023/08/baichuan-ai-website.png,百川智能推出的大模型助手，融合了意图理解、信息检索以及强化学习技术,AI对话工具,,AI对话工具,,https://chat.baichuan-ai.com/home?utm_source=ai-bot.cn,,,,
https://ai-bot.cn/sites/669.html,文心一言,https://ai-bot.cn/wp-content/uploads/2023/03/yiyan-baidu-website.png,百度推出的基于文心大模型的AI对话互动工具,AI对话工具,,AI对话工具,,https://yiyan.baidu.com/?utm_source=ai-bot.cn,,,,
